anime_id,name,genre,type,episodes,rating,members,genre_list
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,"['drama', ' romance', ' school', ' supernatural']"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"['action', ' adventure', ' drama', ' fantasy', ' magic', ' military', ' shounen']"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"['sci-fi', ' thriller']"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,"['comedy', ' drama', ' school', ' shounen', ' sports']"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,"['action', ' adventure', ' shounen', ' super power']"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,"['drama', ' military', ' sci-fi', ' space']"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,"['drama', ' fantasy', ' romance', ' slice of life', ' supernatural']"
